Date_UT,RA_app,DEC_app,Helio_Ecl_Lon,Helio_Ecl_Lat,r,rdot,delta,deldot,VmagSn,VmagOb,S-O-T,S-O-T_flag,TDB-UT,Sky_motion,Sky_mot_PA,RelVel_ANG
1986-Feb-21 00:00,15 15 18.83,+27 00 45.6,232.5186,30.0865,25.93731328724,17.0045705,25.9373132872398,17.0045705,18.5429744,18.5429722,0.0000,/*,0.0014,55.185247,0.0235866,62.140652
1986-Mar-23 00:00,15 16 25.55,+27 08 35.4,232.8221,30.1836,26.23204220178,17.0179341,26.2320422017805,17.0179341,18.5220635,18.5220615,0.0000,/*,0.0014,55.185638,0.0230579,62.266000
1986-Apr-22 00:00,15 17 30.94,+27 16 12.8,233.1193,30.2779,26.52699652990,17.0306033,26.5269965299016,17.0306033,18.5015869,18.5015850,0.0000,/*,0.0014,55.185597,0.0225464,62.389446
1986-May-22 00:00,15 18 35.02,+27 23 38.3,233.4106,30.3694,26.82216468143,17.0426228,26.8221646814330,17.0426228,18.4815351,18.4815334,0.0000,/*,0.0014,55.185146,0.0220514,62.510987
1986-Jun-21 00:00,15 19 37.85,+27 30 52.3,233.6960,30.4583,27.11753539525,17.0539829,27.1175353952507,17.0539829,18.4618625,18.4618602,0.0000,/*,0.0014,55.184407,0.0215722,62.630579
1986-Jul-21 00:00,15 20 39.45,+27 37 55.2,233.9758,30.5447,27.41309754826,17.0647412,27.4130975482589,17.0647412,18.4425466,18.4425441,0.0000,/*,0.0013,55.183567,0.0211079,62.747974
1986-Aug-20 00:00,15 21 39.85,+27 44 47.5,234.2500,30.6287,27.70884155080,17.0749929,27.7088415508000,17.0749929,18.4236343,18.4236325,0.0000,/*,0.0013,55.182837,0.0206579,62.863545
1986-Sep-19 00:00,15 22 39.10,+27 51 29.4,234.5189,30.7103,28.00475908136,17.0847717,28.0047590813643,17.0847717,18.4051359,18.4051346,0.0000,/*,0.0013,55.182401,0.0202217,62.977539
1986-Oct-19 00:00,15 23 37.22,+27 58 01.3,234.7825,30.7897,28.30084257413,17.0941751,28.3008425741256,17.0941751,18.3871511,18.3871507,0.0000,/*,0.0013,55.182374,0.0197992,63.090341
1986-Nov-18 00:00,15 24 34.24,+28 04 23.7,235.0411,30.8670,28.59708510622,17.1031193,28.5970851062221,17.1031193,18.3695311,18.3695318,0.0000,/*,0.0013,55.182772,0.0193894,63.201672
1986-Dec-18 00:00,15 25 30.20,+28 10 36.7,235.2948,30.9421,28.89347868256,17.1116058,28.8934786825622,17.1116058,18.3523190,18.3523196,0.0000,/*,0.0013,55.183499,0.0189924,63.311810
1987-Jan-17 00:00,15 26 25.13,+28 16 40.7,235.5437,31.0152,29.19001516001,17.1196172,29.1900151600102,17.1196172,18.3353981,18.3353985,0.0000,/*,0.0013,55.184362,0.0186073,63.420104
1987-Feb-16 00:00,15 27 19.05,+28 22 36.1,235.7880,31.0864,29.48668731287,17.1272372,29.4866873128731,17.1272372,18.3188356,18.3188358,0.0000,/*,0.0012,55.185127,0.0182337,63.526479
1987-Mar-18 00:00,15 28 11.98,+28 28 23.1,236.0277,31.1557,29.78348713506,17.1343926,29.7834871350646,17.1343926,18.3025120,18.3025117,0.0000,/*,0.0012,55.185588,0.0178709,63.631170
1987-Apr-17 00:00,15 29 03.97,+28 34 01.9,236.2630,31.2232,30.08040743294,17.1411569,30.0804074329395,17.1411569,18.2864533,18.2864533,0.0000,/*,0.0012,55.185629,0.0175185,63.734167
1987-May-17 00:00,15 29 55.02,+28 39 32.9,236.4940,31.2890,30.37744235045,17.1476366,30.3774423504498,17.1476366,18.2707480,18.2707489,0.0000,/*,0.0012,55.185250,0.0171761,63.835907
1987-Jun-16 00:00,15 30 45.16,+28 44 56.3,236.7208,31.3531,30.67458695121,17.1538138,30.6745869512144,17.1538138,18.2554064,18.2554077,0.0000,/*,0.0012,55.184555,0.0168438,63.936450
1987-Jul-16 00:00,15 31 34.43,+28 50 12.4,236.9436,31.4155,30.97183622143,17.1597443,30.9718362214253,17.1597443,18.2404014,18.2404033,0.0000,/*,0.0012,55.183722,0.0165208,64.035777
1987-Aug-15 00:00,15 32 22.83,+28 55 21.3,237.1624,31.4764,31.26918557473,17.1653439,31.2691855747267,17.1653439,18.2256693,18.2256715,0.0000,/*,0.0012,55.182958,0.0162069,64.134057
1987-Sep-14 00:00,15 33 10.40,+29 00 23.3,237.3773,31.5358,31.56662903384,17.1706020,31.5666290338379,17.1706020,18.2111825,18.2111844,0.0000,/*,0.0012,55.182458,0.0159020,64.230782
1987-Oct-14 00:00,15 33 57.15,+29 05 18.7,237.5885,31.5937,31.86416110633,17.1755830,31.8641611063306,17.1755830,18.1969522,18.1969542,0.0000,/*,0.0011,55.182354,0.0156053,64.326114
1987-Nov-13 00:00,15 34 43.11,+29 10 07.5,237.7960,31.6502,32.16177738875,17.1803335,32.1617773887486,17.1803335,18.1830066,18.1830092,0.0000,/*,0.0011,55.182683,0.0153168,64.420280
1987-Dec-13 00:00,15 35 28.29,+29 14 50.1,237.9999,31.7053,32.45947395875,17.1848525,32.4594739587475,17.1848525,18.1693376,18.1693407,0.0000,/*,0.0011,55.183363,0.0150361,64.513310
1988-Jan-12 00:00,15 36 12.71,+29 19 26.6,238.2004,31.7591,32.75724716957,17.1891746,32.7572471695664,17.1891746,18.1559622,18.1559662,0.0000,/*,0.0011,56.184214,0.0147630,64.605377
1988-Feb-11 00:00,15 36 56.40,+29 23 57.1,238.3975,31.8117,33.05509359310,17.1933091,33.0550935931002,17.1933091,18.1428897,18.1428942,0.0000,/*,0.0011,56.185006,0.0144974,64.696729
1988-Mar-12 00:00,15 37 39.36,+29 28 22.0,238.5912,31.8629,33.35300940104,17.1971778,33.3530094010446,17.1971778,18.1300368,18.1300411,0.0000,/*,0.0011,56.185526,0.0142390,64.786919
1988-Apr-11 00:00,15 38 21.63,+29 32 41.2,238.7817,31.9130,33.65098994561,17.2007835,33.6509899456099,17.2007835,18.1173714,18.1173752,0.0000,/*,0.0011,56.185642,0.0139875,64.875725
1988-May-11 00:00,15 39 03.21,+29 36 55.1,238.9691,31.9619,33.94903084571,17.2041481,33.9490308457122,17.2041481,18.1048918,18.1048952,0.0000,/*,0.0011,56.185333,0.0137426,64.963144
1988-Jun-10 00:00,15 39 44.13,+29 41 03.7,239.1534,32.0097,34.24712794834,17.2072802,34.2471279483402,17.2072802,18.0925772,18.0925802,0.0000,/*,0.0011,56.184686,0.0135039,65.049004
1988-Jul-10 00:00,15 40 24.39,+29 45 07.3,239.3347,32.0564,34.54527787909,17.2102588,34.5452778790852,17.2102588,18.0804789,18.0804826,0.0000,/*,0.0011,56.183867,0.0132711,65.133644
1988-Aug-09 00:00,15 41 04.01,+29 49 05.9,239.5131,32.1020,34.84347856080,17.2131383,34.8434785608046,17.2131383,18.0686545,18.0686591,0.0000,/*,0.0011,56.183083,0.0130443,65.217657
1988-Sep-08 00:00,15 41 43.01,+29 52 59.7,239.6886,32.1466,35.14172796277,17.2158854,35.1417279627650,17.2158854,18.0570747,18.0570802,0.0000,/*,0.0010,56.182530,0.0128232,65.300977
1988-Oct-08 00:00,15 42 21.41,+29 56 48.9,239.8613,32.1903,35.44002398100,17.2185163,35.4400239809979,17.2185163,18.0457485,18.0457548,0.0000,/*,0.0010,56.182355,0.0126078,65.383690
1988-Nov-07 00:00,15 42 59.21,+30 00 33.5,240.0313,32.2329,35.73836438910,17.2209965,35.7383643890964,17.2209965,18.0346466,18.0346529,0.0000,/*,0.0010,56.182611,0.0123980,65.465794
1988-Dec-07 00:00,15 43 36.43,+30 04 13.7,240.1987,32.2746,36.03674590702,17.2232642,36.0367459070188,17.2232642,18.0236874,18.0236932,0.0000,/*,0.0010,56.183240,0.0121935,65.546643
1989-Jan-06 00:00,15 44 13.08,+30 07 49.6,240.3634,32.3154,36.33516507129,17.2253505,36.3351650712859,17.2253505,18.0128713,18.0128768,0.0000,/*,0.0010,56.184075,0.0119940,65.626206
1989-Feb-05 00:00,15 44 49.19,+30 11 21.4,240.5256,32.3553,36.63361918633,17.2272955,36.6336191863337,17.2272955,18.0022264,18.0022318,0.0000,/*,0.0010,56.184888,0.0117993,65.704732
1989-Mar-07 00:00,15 45 24.75,+30 14 49.1,240.6853,32.3944,36.93210568518,17.2290985,36.9321056851840,17.2290985,17.9917364,17.9917420,0.0000,/*,0.0010,56.185461,0.0116093,65.782103
1989-Apr-06 00:00,15 45 59.78,+30 18 12.8,240.8426,32.4326,37.23062258791,17.2308104,37.2306225879053,17.2308104,17.9814427,17.9814491,0.0000,/*,0.0010,56.185645,0.0114239,65.858701
1989-May-06 00:00,15 46 34.30,+30 21 32.8,240.9976,32.4701,37.52916836804,17.2324218,37.5291683680362,17.2324218,17.9713486,17.9713550,0.0000,/*,0.0010,56.185403,0.0112429,65.934809
1989-Jun-05 00:00,15 47 08.31,+30 24 49.0,241.1502,32.5067,37.82774080414,17.2338881,37.8277408041429,17.2338881,17.9613981,17.9614043,0.0000,/*,0.0010,56.184805,0.0110663,66.009923
1989-Jul-05 00:00,15 47 41.83,+30 28 01.5,241.3005,32.5426,38.12633741663,17.2352145,38.1263374166311,17.2352145,17.9515798,17.9515859,0.0000,/*,0.0010,56.184007,0.0108939,66.083997
1989-Aug-04 00:00,15 48 14.86,+30 31 10.5,241.4487,32.5778,38.42495583736,17.2363986,38.4249558373580,17.2363986,17.9418842,17.9418895,0.0000,/*,0.0010,56.183209,0.0107256,66.157031
1989-Sep-03 00:00,15 48 47.42,+30 34 16.1,241.5946,32.6122,38.72359352550,17.2374530,38.7235935254987,17.2374530,17.9322965,17.9323017,0.0000,/*,0.0009,56.182610,0.0105610,66.228770
1989-Oct-03 00:00,15 49 19.52,+30 37 18.4,241.7385,32.6459,39.02224889323,17.2384506,39.0222488932280,17.2384506,17.9228771,17.9228832,0.0000,/*,0.0009,56.182365,0.0104001,66.299726
1989-Nov-02 00:00,15 49 51.16,+30 40 17.3,241.8802,32.6790,39.32092122128,17.2394043,39.3209212212799,17.2394043,17.9136546,17.9136613,0.0000,/*,0.0009,56.182549,0.0102429,66.370333
1989-Dec-02 00:00,15 50 22.36,+30 43 13.1,242.0200,32.7114,39.61960956881,17.2403007,39.6196095688086,17.2403007,17.9046102,17.9046176,0.0000,/*,0.0009,56.183121,0.0100893,66.440449
1990-Jan-01 00:00,15 50 53.13,+30 46 05.7,242.1578,32.7431,39.91831299042,17.2411281,39.9183129904174,17.2411281,17.8957364,17.8957444,0.0000,/*,0.0009,57.183934,0.0099393,66.510165
1990-Jan-31 00:00,15 51 23.47,+30 48 55.4,242.2936,32.7742,40.21702965347,17.2418228,40.2170296534720,17.2418228,17.8869781,17.8869849,0.0000,/*,0.0009,57.184764,0.0097928,66.579190
1990-Mar-02 00:00,15 51 53.39,+30 51 42.1,242.4275,32.8047,40.51575686991,17.2423551,40.5157568699139,17.2423551,17.8782770,17.8782828,0.0000,/*,0.0009,57.185388,0.0096497,66.646910
1990-Apr-01 00:00,15 52 22.91,+30 54 25.9,242.5596,32.8347,40.81449212112,17.2427585,40.8144921211238,17.2427585,17.8696419,17.8696472,0.0000,/*,0.0009,57.185643,0.0095096,66.713207
1990-May-01 00:00,15 52 52.03,+30 57 06.9,242.6898,32.8640,41.11323346285,17.2430522,41.1132334628496,17.2430522,17.8610874,17.8610919,0.0000,/*,0.0009,57.185469,0.0093725,66.778387
1990-May-31 00:00,15 53 20.76,+30 59 45.2,242.8182,32.8928,41.41197906214,17.2432744,41.4119790621396,17.2432744,17.8526328,17.8526376,0.0000,/*,0.0009,57.184922,0.0092383,66.842550
1990-Jun-30 00:00,15 53 49.11,+31 02 20.8,242.9450,32.9211,41.71072850736,17.2434946,41.7107285073649,17.2434946,17.8443497,17.8443557,0.0000,/*,0.0009,57.184146,0.0091069,66.906301
1990-Jul-30 00:00,15 54 17.08,+31 04 53.8,243.0699,32.9488,42.00948144012,17.2436642,42.0094814401216,17.2436642,17.8362096,17.8362155,0.0000,/*,0.0009,57.183334,0.0089783,66.969772
1990-Aug-29 00:00,15 54 44.68,+31 07 24.3,243.1933,32.9760,42.30823681615,17.2437760,42.3082368161468,17.2437760,17.8281953,17.8282013,0.0000,/*,0.0009,57.182691,0.0088526,67.032604
1990-Sep-28 00:00,15 55 11.92,+31 09 52.3,243.3149,33.0027,42.60699343472,17.2438096,42.6069934347218,17.2438096,17.8202830,17.8202889,0.0000,/*,0.0009,57.182380,0.0087296,67.094821
1990-Oct-28 00:00,15 55 38.81,+31 12 17.8,243.4350,33.0289,42.90574980436,17.2437371,42.9057498043563,17.2437371,17.8124420,17.8124468,0.0000,/*,0.0009,57.182490,0.0086092,67.156029
1990-Nov-27 00:00,15 56 05.35,+31 14 41.0,243.5535,33.0546,43.20450409002,17.2435793,43.2045040900239,17.2435793,17.8046677,17.8046722,0.0000,/*,0.0008,57.183003,0.0084913,67.216106
1990-Dec-27 00:00,15 56 31.55,+31 17 01.9,243.6704,33.0798,43.50325530467,17.2433905,43.5032553046723,17.2433905,17.7970099,17.7970150,0.0000,/*,0.0008,57.183788,0.0083757,67.275562
1991-Jan-26 00:00,15 56 57.42,+31 19 20.6,243.7858,33.1046,43.80200301075,17.2431542,43.8020030107472,17.2431542,17.7894623,17.7894674,0.0000,/*,0.0008,58.184634,0.0082626,67.334461
1991-Feb-25 00:00,15 57 22.96,+31 21 37.0,243.8997,33.1290,44.10074610091,17.2428736,44.1007461009105,17.2428736,17.7820209,17.7820263,0.0000,/*,0.0008,58.185309,0.0081517,67.392812
1991-Mar-27 00:00,15 57 48.18,+31 23 51.3,244.0122,33.1529,44.39948405282,17.2425566,44.3994840528196,17.2425566,17.7746992,17.7747045,0.0000,/*,0.0008,58.185633,0.0080432,67.450776
1991-Apr-26 00:00,15 58 13.08,+31 26 03.5,244.1232,33.1764,44.69821561228,17.2421277,44.6982156122776,17.2421277,17.7674248,17.7674287,0.0000,/*,0.0008,58.185529,0.0079370,67.507784
1991-May-26 00:00,15 58 37.68,+31 28 13.7,244.2329,33.1995,44.99693864531,17.2415750,44.9969386453079,17.2415750,17.7601616,17.7601643,0.0000,/*,0.0008,58.185034,0.0078329,67.563493
1991-Jun-25 00:00,15 59 01.98,+31 30 21.8,244.3411,33.2222,45.29565150942,17.2409592,45.2956515094157,17.2409592,17.7529569,17.7529590,0.0000,/*,0.0008,58.184279,0.0077308,67.618134
1991-Jul-25 00:00,15 59 25.98,+31 32 28.0,244.4480,33.2445,45.59435308755,17.2402764,45.5943530875538,17.2402764,17.7458020,17.7458037,0.0000,/*,0.0008,58.183456,0.0076306,67.671687
1991-Aug-24 00:00,15 59 49.68,+31 34 32.3,244.5536,33.2665,45.89304263099,17.2395791,45.8930426309864,17.2395791,17.7387386,17.7387410,0.0000,/*,0.0008,58.182768,0.0075322,67.724610
1991-Sep-23 00:00,16 00 13.10,+31 36 34.7,244.6579,33.2880,46.19172049018,17.2389272,46.1917204901790,17.2389272,17.7318378,17.7318413,0.0000,/*,0.0008,58.182392,0.0074358,67.777578
1991-Oct-23 00:00,16 00 36.24,+31 38 35.3,244.7609,33.3092,46.49038696540,17.2382588,46.4903869653970,17.2382588,17.7250526,17.7250563,0.0000,/*,0.0008,58.182433,0.0073412,67.830340
1991-Nov-22 00:00,16 00 59.10,+31 40 34.0,244.8626,33.3301,46.78904146745,17.2375400,46.7890414674524,17.2375400,17.7183465,17.7183502,0.0000,/*,0.0008,58.182888,0.0072486,67.882720
1991-Dec-22 00:00,16 01 21.69,+31 42 31.1,244.9631,33.3505,47.08768318397,17.2367732,47.0876831839738,17.2367732,17.7117228,17.7117256,0.0000,/*,0.0008,58.183644,0.0071579,67.934567
1992-Jan-21 00:00,16 01 44.01,+31 44 26.4,245.0624,33.3707,47.38631055190,17.2358831,47.3863105519000,17.2358831,17.7050957,17.7050971,0.0000,/*,0.0008,58.184499,0.0070689,67.985101
1992-Feb-20 00:00,16 02 06.07,+31 46 20.0,245.1605,33.3905,47.68492166812,17.2349052,47.6849216681226,17.2349052,17.6984781,17.6984787,0.0000,/*,0.0008,58.185220,0.0069815,68.034369
1992-Mar-21 00:00,16 02 27.88,+31 48 12.0,245.2575,33.4100,47.98351566211,17.2339093,47.9835156621090,17.2339093,17.6919370,17.6919373,0.0000,/*,0.0008,58.185613,0.0068957,68.082922
1992-Apr-20 00:00,16 02 49.43,+31 50 02.4,245.3533,33.4292,48.28209205565,17.2328792,48.2820920556488,17.2328792,17.6854559,17.6854563,0.0000,/*,0.0008,58.185582,0.0068114,68.130684
1992-May-20 00:00,16 03 10.73,+31 51 51.2,245.4480,33.4481,48.58065057854,17.2318491,48.5806505785375,17.2318491,17.6790672,17.6790681,0.0000,/*,0.0008,58.185142,0.0067287,68.178057
1992-Jun-19 00:00,16 03 31.79,+31 53 38.5,245.5415,33.4667,48.87919131045,17.2308140,48.8791913104476,17.2308140,17.6727793,17.6727800,0.0000,/*,0.0008,58.184413,0.0066475,68.225317
1992-Jul-19 00:00,16 03 52.61,+31 55 24.3,245.6340,33.4850,49.17771362293,17.2297080,49.1777136229290,17.2297080,17.6665241,17.6665239,0.0000,/*,0.0007,59.183581,0.0065678,68.271737
1992-Aug-18 00:00,16 04 13.19,+31 57 08.6,245.7255,33.5030,49.47621611556,17.2285424,49.4762161155570,17.2285424,17.6602987,17.6602979,0.0000,/*,0.0007,59.182853,0.0064896,68.317211
1992-Sep-17 00:00,16 04 33.55,+31 58 51.4,245.8158,33.5207,49.77469809033,17.2273360,49.7746980903271,17.2273360,17.6541194,17.6541177,0.0000,/*,0.0007,59.182415,0.0064127,68.361949
1992-Oct-17 00:00,16 04 53.67,+32 00 32.9,245.9052,33.5381,50.07315873691,17.2260913,50.0731587369090,17.2260913,17.6479779,17.6479761,0.0000,/*,0.0007,59.182383,0.0063372,68.405731
1992-Nov-16 00:00,16 05 13.57,+32 02 12.9,245.9935,33.5553,50.37159794591,17.2248688,50.3715979459102,17.2248688,17.6419310,17.6419303,0.0000,/*,0.0007,59.182776,0.0062628,68.449172
1992-Dec-16 00:00,16 05 33.25,+32 03 51.6,246.0808,33.5722,50.67001633852,17.2236774,50.6700163385155,17.2236774,17.6360047,17.6360044,0.0000,/*,0.0007,59.183497,0.0061899,68.492775
1993-Jan-15 00:00,16 05 52.71,+32 05 29.0,246.1672,33.5889,50.96841391471,17.2224653,50.9684139147053,17.2224653,17.6301503,17.6301500,0.0000,/*,0.0007,59.184356,0.0061183,68.536033
1993-Feb-14 00:00,16 06 11.96,+32 07 05.0,246.2526,33.6053,51.26679020992,17.2212170,51.2667902099222,17.2212170,17.6243512,17.6243506,0.0000,/*,0.0007,59.185117,0.0060480,68.578831
1993-Mar-16 00:00,16 06 31.00,+32 08 39.8,246.3370,33.6215,51.56514432457,17.2198897,51.5651443245658,17.2198897,17.6185680,17.6185654,0.0000,/*,0.0007,59.185578,0.0059791,68.620846
1993-Apr-15 00:00,16 06 49.84,+32 10 13.4,246.4205,33.6374,51.86347442660,17.2184537,51.8634744266033,17.2184537,17.6127491,17.6127448,0.0000,/*,0.0007,59.185620,0.0059113,68.661299
1993-May-15 00:00,16 07 08.47,+32 11 45.7,246.5031,33.6531,52.16177912203,17.2169687,52.1617791220338,17.2169687,17.6069378,17.6069331,0.0000,/*,0.0007,59.185244,0.0058445,68.700558
1993-Jun-14 00:00,16 07 26.90,+32 13 16.8,246.5848,33.6685,52.46005802849,17.2154732,52.4600580284892,17.2154732,17.6011768,17.6011717,0.0000,/*,0.0007,59.184552,0.0057788,68.739189
1993-Jul-14 00:00,16 07 45.13,+32 14 46.7,246.6656,33.6838,52.75831112722,17.2139873,52.7583111272163,17.2139873,17.5954804,17.5954760,0.0000,/*,0.0007,60.183720,0.0057141,68.777272
1993-Aug-13 00:00,16 08 03.17,+32 16 15.5,246.7456,33.6988,53.05653875138,17.2125495,53.0565387513850,17.2125495,17.5898940,17.5898908,0.0000,/*,0.0007,60.182957,0.0056505,68.815443
