Date_UT,RA_app,DEC_app,Helio_Ecl_Lon,Helio_Ecl_Lat,r,rdot,delta,deldot,VmagSn,VmagOb,S-O-T,S-O-T_flag,TDB-UT,Sky_motion,Sky_mot_PA,RelVel_ANG
1977-Aug-21 00:00,21 52 02.03,+06 57 07.9,328.2525,0.0383,1.011060969335,-3.2179597,1.01106096933507,-3.2179597,38.9752785,38.9752783,0.0000,/*,0.0074,48.182840,3.1781729,82.936378
1977-Sep-20 00:00,00 24 21.86,+09 47 14.8,5.9193,2.9848,1.049442810604,7.3265133,1.04944281060430,7.3265133,38.0240086,38.0240083,0.0000,/*,0.0071,48.182431,2.9412694,88.734941
1977-Oct-20 00:00,02 27 33.25,+09 04 16.6,36.3284,4.4938,1.239380275323,13.7401939,1.23938027532319,13.7401939,34.4564531,34.4564529,0.0000,/*,0.0060,48.182430,2.1091646,93.898063
1977-Nov-19 00:00,03 51 59.46,+07 04 26.1,57.3880,4.8281,1.501483226249,16.0329299,1.50148322624919,16.0329299,30.6162935,30.6162934,0.0000,/*,0.0050,48.182846,1.4370820,96.896344
1977-Dec-19 00:00,04 49 53.25,+05 07 31.2,71.9601,4.6827,1.783960193903,16.3812468,1.78396019390310,16.3812468,27.3912145,27.3912145,0.0000,/*,0.0042,48.183576,1.0180271,98.442899
1978-Jan-18 00:00,05 31 41.60,+03 30 01.6,82.5365,4.3878,2.064895311179,15.9772818,2.06489531117852,15.9772818,24.7992872,24.7992872,0.0000,/*,0.0036,49.184425,0.7598746,99.231461
1978-Feb-17 00:00,06 03 30.38,+02 10 44.9,90.6043,4.0620,2.336089364616,15.3046712,2.33608936461566,15.3046712,22.7002641,22.7002641,0.0000,/*,0.0032,49.185158,0.5937013,99.626656
1978-Mar-19 00:00,06 28 46.88,+01 05 47.0,97.0196,3.7451,2.594785872218,14.5535471,2.59478587221768,14.5535471,20.9674008,20.9674008,0.0000,/*,0.0029,49.185581,0.4812284,99.808194
1978-Apr-18 00:00,06 49 33.38,+00 11 42.6,102.2926,3.4491,2.840379243464,13.7996098,2.84037924346445,13.7996098,19.5079965,19.5079964,0.0000,/*,0.0026,49.185588,0.4016087,99.867903
1978-May-18 00:00,07 07 05.82,-00 34 03.0,106.7426,3.1763,3.073119061535,13.0725741,3.07311906153536,13.0725741,18.2568056,18.2568055,0.0000,/*,0.0024,49.185188,0.3430755,99.855255
1978-Jun-17 00:00,07 22 13.69,-01 13 22.4,110.5786,2.9254,3.293579240519,12.3828883,3.29357924051902,12.3828883,17.1675946,17.1675944,0.0000,/*,0.0023,49.184490,0.2986708,99.798359
1978-Jul-17 00:00,07 35 30.64,-01 47 37.7,113.9429,2.6944,3.502433677976,11.7328152,3.50243367797617,11.7328152,16.2070377,16.2070375,0.0000,/*,0.0021,49.183672,0.2640900,99.713960
1978-Aug-16 00:00,07 47 20.36,-02 17 49.6,116.9361,2.4807,3.700361477032,11.1211606,3.70036147703230,11.1211606,15.3506820,15.3506819,0.0000,/*,0.0020,49.182938,0.2365618,99.612404
1978-Sep-15 00:00,07 58 00.03,-02 44 43.7,119.6314,2.2823,3.888006784116,10.5453281,3.88800678411601,10.5453281,14.5801121,14.5801120,0.0000,/*,0.0019,49.182473,0.2142353,99.500428
1978-Oct-15 00:00,08 07 42.47,-03 08 54.8,122.0831,2.0970,4.065964849285,10.0024086,4.06596484928515,10.0024086,13.8812056,13.8812055,0.0000,/*,0.0018,49.182401,0.1958330,99.382695
1978-Nov-14 00:00,08 16 37.42,-03 30 49.9,124.3327,1.9233,4.234781860373,9.4896678,4.23478186037278,9.4896678,13.2430312,13.2430310,0.0000,/*,0.0018,49.182750,0.1804495,99.262648
1978-Dec-14 00:00,08 24 52.42,-03 50 50.5,126.4124,1.7597,4.394959576727,9.0047622,4.39495957672681,9.0047622,12.6569209,12.6569204,0.0000,/*,0.0017,49.183439,0.1674237,99.143273
1979-Jan-13 00:00,08 32 33.39,-04 09 13.6,128.3475,1.6048,4.546964947900,8.5460857,4.54696494789995,8.5460857,12.1159459,12.1159454,0.0000,/*,0.0016,50.184284,0.1562577,99.027691
1979-Feb-12 00:00,08 39 45.01,-04 26 13.1,130.1577,1.4574,4.691246072941,8.1131398,4.69124607294141,8.1131398,11.6145875,11.6145869,0.0000,/*,0.0016,50.185056,0.1465632,98.919940
1979-Mar-14 00:00,08 46 30.94,-04 42 00.5,131.8588,1.3167,4.828257438522,7.7073928,4.82825743852202,7.7073928,11.1482900,11.1482894,0.0000,/*,0.0015,50.185544,0.1380122,98.826953
1979-Apr-13 00:00,08 52 53.93,-04 56 45.9,133.4625,1.1813,4.958514274487,7.3352349,4.95851427448725,7.3352349,10.7132975,10.7132970,0.0000,/*,0.0015,50.185623,0.1302729,98.763770
1979-May-13 00:00,08 58 55.60,-05 10 38.5,134.9759,1.0501,5.082752798589,7.0193953,5.08275279858898,7.0193953,10.3071743,10.3071739,0.0000,/*,0.0014,50.185282,0.1228456,98.773717
1979-Jun-12 00:00,09 04 34.94,-05 23 49.6,136.3951,0.9202,5.202657040151,6.8783365,5.20265704015097,6.8783365,9.9391031,9.9391026,0.0000,/*,0.0014,50.184618,0.1140830,99.066918
1979-Jul-12 00:00,09 10 17.54,-05 36 41.2,137.8266,0.7927,5.346652267360,9.3415169,5.34665226736014,9.3415169,23.7550141,23.7550140,0.0000,/*,0.0042,50.183801,0.3379442,90.767594
1979-Aug-11 00:00,09 24 47.31,-05 39 16.3,141.4303,0.9512,5.457947391195,6.1522629,5.45794739119470,6.1522629,19.8891095,19.8891095,0.0000,/*,0.0036,50.183035,0.2866798,90.566445
1979-Sep-10 00:00,09 38 15.71,-05 40 44.3,144.7799,1.0905,5.567644262292,6.5372955,5.56764426229239,6.5372955,19.4768648,19.4768646,0.0000,/*,0.0035,50.182513,0.2726116,90.264033
1979-Oct-10 00:00,09 51 06.90,-05 41 06.8,147.9755,1.2189,5.684775843382,6.9840749,5.68477584338172,6.9840749,19.2123091,19.2123089,0.0000,/*,0.0034,50.182372,0.2604595,89.958304
1979-Nov-09 00:00,10 03 23.85,-05 40 30.3,151.0295,1.3376,5.809576215698,7.4180837,5.80957621569822,7.4180837,18.9868833,18.9868832,0.0000,/*,0.0033,50.182658,0.2488820,89.661227
1979-Dec-09 00:00,10 15 07.78,-05 39 02.0,153.9472,1.4471,5.941665274391,7.8242808,5.94166527439106,7.8242808,18.7765084,18.7765084,0.0000,/*,0.0033,50.183304,0.2376519,89.376173
1980-Jan-08 00:00,10 26 19.60,-05 36 49.1,156.7323,1.5480,6.080519813188,8.1988172,6.08051981318822,8.1988172,18.5734129,18.5734129,0.0000,/*,0.0032,51.184142,0.2267452,89.104473
1980-Feb-07 00:00,10 37 00.26,-05 33 58.0,159.3888,1.6407,6.225585077175,8.5413175,6.22558507717473,8.5413175,18.3748039,18.3748039,0.0000,/*,0.0031,51.184944,0.2161876,88.846667
